INSPECTION_ID,PROPERTY_ID,PROPERTY_NAME,ADDRESS,CITY,CBSA_NAME,CBSA_CODE,COUNTY_NAME,COUNTY_CODE,STATE_NAME,STATE_CODE,ZIP,LATITUDE,LONGITUDE,LOCATION_QUALITY,INSPECTION_SCORE,INSPECTION_DATE
567158,800241803,Lyndon B. Johnson Apartments (RAD),9000 Roanoke Dr,El Paso,"El Paso, TX Metropolitan Statistical Area",21340,El Paso,141,TX,48,79904,31.867733,-106.411984,R,85,2/2/2016
567160,800021115,MUNOZ MANOR,10040 Audobon St,El Paso,"El Paso, TX Metropolitan Statistical Area",21340,El Paso,141,TX,48,79924,31.900748,-106.415039,R,94,1/21/2016
567161,800241795,George Webber Memorial Apartments (RAD),110 Whittier Dr,El Paso,"El Paso, TX Metropolitan Statistical Area",21340,El Paso,141,TX,48,79907,31.709145,-106.346433,R,73,1/28/2016
567168,800020996,JOSE ANTONIO ESCAJEDA,204 Alicia Dr,El Paso,"El Paso, TX Metropolitan Statistical Area",21340,El Paso,141,TX,48,79905,31.766569,-106.430387,R,81,5/20/2016
567170,800241799,Dwight D. Eisenhower Apartments (RAD),5628 Eisenhower Ave,El Paso,"El Paso, TX Metropolitan Statistical Area",21340,El Paso,141,TX,48,79924,31.89127,-106.409565,R,80,1/20/2016
567172,800241796,Raymond Telles Manor (RAD),295 Jesuit Dr,El Paso,"El Paso, TX Metropolitan Statistical Area",21340,El Paso,141,TX,48,79907,31.694139,-106.341662,R,88,1/22/2016
568043,800020978,INDEPENDENCE MANOR II,836 Ridge View Dr,Nacogdoches,"Nacogdoches, TX Micropolitan Statistical Area",34860,Nacogdoches,347,TX,48,75961,31.608489,-94.638388,R,72,1/27/2016
568044,800214852,FOUNTAINS OF ROSENBERG,3419 Fountains Dr,Rosenberg,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Fort Bend,157,TX,48,77471,29.530932,-95.797377,R,85,2/1/2016
568093,800227330,VINEYARD TRACE APARTMENTS,15414 Kuykendahl Rd,Houston,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Harris,201,TX,48,77090,30.003209,-95.460159,R,62,1/29/2016
568131,800021555,WOODLAND CHRISTIAN TOWER,600 E Tidwell Rd,Houston,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Harris,201,TX,48,77022,29.845299,-95.390822,R,10,1/14/2016
568222,800021064,Los Ebanos Apts,2133 Barnard Rd,Brownsville,"Brownsville-Harlingen, TX Metropolitan Statistical Area",15180,Cameron,061,TX,48,78520,25.93518,-97.503531,R,75,2/12/2016
568228,800021095,MERIDIAN HOUSING AUTHORITY,PO Box 363,Meridian,,99999,Bosque,035,TX,48,76665,31.9203,-97.658,B,99,6/13/2016
568231,800020721,Candlewick Town Homes,1155 Paredes Line Rd,Brownsville,"Brownsville-Harlingen, TX Metropolitan Statistical Area",15180,Cameron,061,TX,48,78521,25.940749,-97.48886,R,95,2/16/2016
