STATE,COUNTY,RISK_VALUE,RISK_SCORE,RISK_RATNG,SOVI_SCORE,SOVI_RATNG,RESL_SCORE,RESL_RATNG,RESL_SPCTL,RESL_VALUE,CRF_VALUE
Texas,Morris,23838674.76,82.78714604,Relatively Low,79.15000153,Relatively High,52.86000061,Relatively Moderate,0.874015748,2.608781099,1.354720074
Texas,Motley,1418917.489,8.081450843,Very Low,44.45999908,Relatively Moderate,12.53999996,Very Low,0.311023622,2.435297012,1.285257459
Texas,Nacogdoches,73737483.69,93.70028635,Relatively Moderate,99.65000153,Very High,22.97999954,Relatively Low,0.468503937,2.488981962,1.342729742
Texas,Navarro,26435448.72,84.56888323,Relatively Moderate,95.80000305,Very High,26.82999992,Relatively Low,0.5118110236,2.503696918,1.526001406
Texas,Newton,5898015.195,47.82055361,Very Low,85.95999908,Very High,3.720000029,Very Low,0.1220472441,2.350929976,1.423940792
Texas,Nolan,7944396.091,58.22462615,Relatively Low,97.06999969,Very High,43.66999817,Relatively Moderate,0.7716535433,2.571326017,1.456664551
Texas,Nueces,191757090.6,97.55011136,Relatively High,92.33000183,Very High,76.69999695,Relatively High,0.9842519685,2.699934959,1.2601639
Texas,Ochiltree,6025000.598,48.64778874,Relatively Low,81.08999634,Very High,2.670000076,Very Low,0.08661417323,2.328526974,1.31541174
Texas,Oldham,1127397.804,6.108813236,Very Low,15.27999973,Very Low,47.29000092,Relatively Moderate,0.8307086614,2.588275909,1.086815357
Texas,Orange,144023864.5,96.56379255,Relatively High,62.06000137,Relatively High,63.75,Relatively High,0.9448818898,2.651253939,1.253792817
Texas,Palo Pinto,8456688.889,59.7836462,Relatively Low,78.87000275,Relatively High,36.54000092,Relatively Low,0.6732283465,2.543860912,1.256580271
Texas,Panola,7419319.372,56.25198855,Relatively Low,69.54000092,Relatively High,36.09000015,Relatively Low,0.6614173228,2.542243004,1.305276647
Texas,Parker,35131760.94,87.90964047,Relatively Moderate,31.15999985,Relatively Low,48.65999985,Relatively Moderate,0.8385826772,2.592236042,1.07231275
Texas,Parmer,15589507.88,75.11931276,Relatively Low,57.47999954,Relatively Moderate,11.68000031,Very Low,0.2952755906,2.427849054,1.54269445
Texas,Pecos,2379267.344,17.21285396,Very Low,91.15000153,Very High,4.110000134,Very Low,0.1299212598,2.356548071,1.400715977
Texas,Polk,23044414.54,82.2144448,Relatively Low,94.52999878,Very High,18.07999992,Very Low,0.3858267717,2.463624001,1.484538867
Texas,Potter,50403026.81,91.09131403,Relatively Moderate,97.73999786,Very High,29.12000084,Relatively Low,0.5433070866,2.513828993,1.405181516
Texas,Presidio,2525250.171,18.61279033,Very Low,99.94000244,Very High,0.02999999933,Very Low,0.007874015748,1.949785948,1.979903476
Texas,Rains,3417703.585,28.31689469,Very Low,41.15000153,Relatively Moderate,28.04000092,Relatively Low,0.5236220472,2.509573936,1.252484103
Texas,Randall,44576605.19,89.94591155,Relatively Moderate,35.84000015,Relatively Low,60.84999847,Relatively High,0.9251968504,2.640319109,1.033774267
Texas,Reagan,1309769.057,7.317849189,Very Low,49.36000061,Relatively Moderate,5.789999962,Very Low,0.1929133858,2.377841949,1.364450693
Texas,Real,3836065.356,32.16671969,Very Low,81.05999756,Very High,4.610000134,Very Low,0.1456692913,2.366311073,1.591441154
Texas,Red River,3238513.333,26.31244034,Very Low,65.08999634,Relatively High,26.51000023,Relatively Low,0.5078740157,2.502260923,1.260822667
Texas,Reeves,4706772.768,39.7709195,Very Low,90.41999817,Very High,2.200000048,Very Low,0.07480314961,2.318203926,1.602355929
Texas,Refugio,9716352.648,63.50620426,Relatively Low,92.90000153,Very High,33.45000076,Relatively Low,0.6220472441,2.531425953,1.497252736
Texas,Roberts,852967.0247,3.97709195,Very Low,11.39000034,Very Low,35.06999969,Relatively Low,0.6377952756,2.538286924,0.9429346919
Texas,Robertson,4725135.967,39.86636971,Very Low,85.68000031,Very High,31.54000092,Relatively Low,0.5866141732,2.524126053,1.37372746
Texas,Rockwall,19931854.02,79.82818963,Relatively Low,14.06999969,Very Low,74.41000366,Relatively High,0.9724409449,2.690576077,0.8619902938
Texas,Runnels,2848327.331,21.9853643,Very Low,54.29999924,Relatively Moderate,45.61000061,Relatively Moderate,0.8070866142,2.580061913,1.206018934
Texas,Rusk,10220584.27,65.03340757,Relatively Low,79.79000092,Relatively High,23.42000008,Relatively Low,0.4803149606,2.490956068,1.392295237
Texas,Sabine,3274914.48,26.88514158,Very Low,52.38999939,Relatively Moderate,8.75,Very Low,0.2322834646,2.406965017,1.319513332
Texas,San Augustine,2911158.537,22.71714922,Very Low,93.88999939,Very High,5.440000057,Very Low,0.1850393701,2.374350071,1.488805885
Texas,San Jacinto,16671114.06,76.39198218,Relatively Low,72.30999756,Relatively High,8.880000114,Very Low,0.2362204724,2.408325911,1.291545303
Texas,San Patricio,40421801.12,89.15049316,Relatively Moderate,92.01000214,Very High,46.56000137,Relatively Moderate,0.8188976378,2.585376978,1.39488005
Texas,San Saba,2019714.141,13.93573019,Very Low,77.62999725,Relatively High,21.73999977,Relatively Low,0.4527559055,2.482059956,1.390807697
Texas,Schleicher,2012205.939,13.84027999,Very Low,70.69000244,Relatively High,11.17000008,Very Low,0.2874015748,2.424709082,1.410475016
Texas,Scurry,8461220.166,59.81546293,Relatively Low,76.98999786,Relatively High,16.04000092,Very Low,0.3622047244,2.453090906,1.494836266
Texas,Shackelford,3142702.386,25.03977092,Very Low,74.16000366,Relatively High,40.58000183,Relatively Moderate,0.7322834646,2.559326887,1.499762177
Texas,Shelby,13448047.59,72.41489023,Relatively Low,95.95999908,Very High,5.409999847,Very Low,0.1811023622,2.373522997,1.652619858
Texas,Sherman,4465951.084,37.8937321,Very Low,41.97999954,Relatively Moderate,1.559999943,Very Low,0.05511811024,2.298523903,1.453333616
Texas,Smith,9513829.438,63.12440344,Relatively Low,81.88999939,Very High,53.47000122,Relatively Moderate,0.8779527559,2.610995054,1.247759206
